track,artist,lyrics
Real As It Gets,Lil Baby ,"ATL Jacob (DY Krazy)

I been savin' my guala, I ain't savin' no bitch
I had put down my Glock but I picked up a stick
Don't get in hatin' shit, I'm on some greatest shit
My people proud, I'm as real as it gets
Gon' have to chase me, I don't like to wait
And I swear I'm impatient, I don't like to sit
I made a way for you lil' bitty niggas
I wish you would play with me, boy, you a bitch, yeah

They got exotic, I told 'em to mail it
I don't gotta touch it, somebody gon' sell it
Bro gon' keep it solid, I know he won't tell it
Grew up in the streets, I ain't never saw belly
I didn't have shit, I ain't never get jealous
Born in this shit, I grew up with some felons
Reach for this water, we'll go at your mеlon
My lil' bro a slime, he'll draw on a revеrend
I don't really have to talk about steppin' 'cause my niggas never get caught when it happen
I'm set on servin' in the morning, I'm snappin'
You can take this as your warning, I'm packin'
F.N. inside of my hand when I back in
Get to actin', I promise we clappin'
Joke's up, it gotta be stamped  on the package
It's the real one, you know that I'm taxin'
Get the ball, I'ma score or I'm passing
Got no love for no ho, I ain't passionate
I done ran up a dub on an accident
To the streets, I'm the voice, I'm an advocate
Ask the plug, this the most he done ever sent
Niggas broke, what's the most you done ever spent?
Gettin' paid, this the most I done ever saved
We gon' hop out with Ks in broad day
I been savin' my guala, I ain't savin' no bitch
I had put down my Glock but I picked up a stick
Don't get in hatin' shit, I'm on some greatest shit
My people proud, I'm as real as it gets
Gon' have to chase me, I don't like to wait
And I swear I'm impatient, I don't like to sit
I made a way for you lil' bitty niggas
I wish you would play with me, boy, you a bitch, yeah
I been savin' my guala, I ain't savin' no bitch
I had pulled out my Glock but I picked up a stick
Don't get in hatin' shit, I'm on some greatest shit
My people proud, I'm as real as it gets
Gon' have to chase me, I don't like to wait
And I swear I'm impatient, I don't like to sit
I made a way for you lil' bitty niggas
I wish you would play with me, boy, you a bitch, yeah

All this shit started off in the kitchen (Started off in the kitchen)
Showed me once and I was payin' attention
Ask the trenches, they gon' say I'm the realest (Say I'm the realest)
Official, the difference between me and niggas
I'm rich when I get off my Insta (Get off my Insta)
Get him killed by the night for a sixty
I sent it, I can't even risk it
Opps want me finished but I'm steadily winning
Youngest, richest nigga out of my city
I been had the streets in a headlock (Headlock)
We had two or three bricks at Miss Jan's spot (At Miss Jan's)
Still dead fresh if the feds watch
Send a diss in hidin', get yo' man shot (Get yo' man)
Niggas play but they know we gon' air it out
She was actin' bougie, flew her friend out
I went, took it, ain't ask for a handout
Old niggas see me out, had to put they heads down
I still got my block if the music don't crack
Really livin' what I rap (Yeah, yeah)
250 out the trap, if I say it, it's a fact
You was puttin' on an act
You a killer on the app (Killer on the app)
Ask who put us on the map
Put the hood on my back
Three cars, ten straps
Niggas better never lack, yeah
I been savin' my guala, I ain't savin' no bitch
I had put down my Glock but I picked up a stick
Don't get in hatin' shit, I'm on some greatest shit
My people proud, I'm as real as it gets
Gon' have to chase me, I don't like to wait
And I swear I'm impatient, I don't like to sit
I made a way for you lil' bitty niggas
I wish you would play with me, boy, you a bitch, yeah
I been saving my guala, I ain't saving no bitch
I had pulled out my Glock but I picked up a stick
Don't get in hatin' shit, I'm on some greatest shit
My people proud, I'm as real as it gets
Gon' have to chase me, I don't like to wait
And I swear I'm impatient, I don't like to sit
I made a way for you lil' bitty niggas
I wish you would play with me, boy, you a bitch, yeah"
Monsters,All Time Low ,"Why do all the monsters come out at night?
Why do we sleep where we want to hide?
Why do I run back to you, like I don't mind if you fuck up my life?

Another day, 'nother headache in this hangover hotel
Gettin' used to the rhythm, yeah, I know this beat too well
Tunnel visions got me feeling like you're the only one I see
But I know what's missing when I'm swimmin'
In my lonely luxury

I'm wondering, why do all the monsters come out at night?
Why do we sleep where we want to hide?
Why do I run back to you, like I don't mind if you fuck up my life?
Why am I a sucker for all your lies?
Strung out like laundry on every line
Why do I come back to you, like I don't mind if you fuck up my life?

I'm addicted to the way you hurt, the way you contradict me
I swear everything look worse at night, I think I'm overthinking
I don't care who I might hurt along the way, I'm fuckin' sinking
Into every word, I don't care if you're lyin' when I'm drinking, so
Tell me pretty lies, look me in my face
Tell me that you love me, even if it's fake
And you can lead me on and leave these questions in my sheets
I'm under it, I made my bed and I'm still wonderin'
I'm wondering, why do all the monsters come out at night?
Why do we sleep where we want to hide?
Why do I run back to you, like I don't mind if you fuck up my life?
Why am I a sucker for all your lies?
Strung out like laundry on every line
Why do I come back to you, like I don't mind if you fuck up my life?

Thinkin' about you, you're in my head
Even without you, I still feel dead
Why do I run back to you, like I don't mind if you fuck up my life?
Dead, thinking about you, you're in my head
Even without you, I still feel dead
Why do I run back to you, like I don't mind if you fuck up my life?

I'm wondering, why do all the monsters come out at night?
Why do we sleep where we want to hide? (Hide)
Why do I run back to you, like I don't mind if you fuck up my life?
Why am I a sucker for all your lies?
Strung out like laundry on every line
Why do I come back to you, like I don't mind if you fuck up my life? (Fuck up my life)

Like I don't mind if you fuck up my life"
Body,Megan Thee Stallion,"Real hot girl shit
Ah
And if the beat live, you know Lil Ju made it

Body-ody-ody-ody-ody-ody-ody-ody
Ody-ody-ody-ody-ody-ody-ody (Mwah)
Body-ody-ody-ody-ody-ody-ody-ody
Ody-ody-ody-ody-ody-ody-ody
Body crazy, curvy, wavy, big titties, lil' waist (Yeah, yeah, yeah)
Body crazy, curvy, wavy, big titties, lil' waist (Mwah)
Body-ody-ody-ody-ody-ody-ody-ody
Ody-ody-ody-ody-ody-ody-ody

Look at how I bodied that, ate it up and gave it back (Ugh)
Yeah, you look good, but they still wanna know where Megan at (Where Megan at?)
Saucy like a barbecue but you won't get your baby back
See me in that dress and he feel like he almost tasted that (Ah, ah, ah)
Num, num, num, num, eat it up, foreplay, okay, three, two, one
You know I'm the hottest, you ain't ever gotta heat me up
I'm present whеn I'm absent, speakin' when I'm not thеre
All them bitches scary cats, I call 'em Carole Baskins, ah

Body-ody-ody-ody-ody-ody-ody-ody
Ody-ody-ody-ody-ody-ody-ody (Ah)
Body-ody-ody-ody-ody-ody-ody-ody
Ody-ody-ody-ody-ody-ody-ody (Baow)
Body crazy, curvy, wavy, big titties, lil' waist (Yeah, yeah)
Body crazy, curvy, wavy, big titties, lil' waist (Yeah, yeah)
Body-ody-ody-ody-ody-ody-ody-ody
Ody-ody-ody-ody-ody-ody-ody
I'm a hot ebony, they gon' click it if it's me (If it's me)
All my pictures been gettin' these niggas through the quarantine (Yeah)
Bitch, I'm very well, on my shit as you could tell
Any ho got beef from years ago is beefing by herself, ah, ah
If we took a trip on the real creep tip (Yeah)
Bitch, rule number one is don't repeat that shit (Don't repeat that shit)
Rule number two, if they all came with you
They better know exactly what the fuck they came to do (Yeah, yeah, yeah, woah, woah)

Body-ody-ody-ody-ody-ody-ody-ody
Ody-ody-ody-ody-ody-ody-ody (Yeah)
Body-ody-ody-ody-ody-ody-ody-ody
Ody-ody-ody-ody-ody-ody-ody (Ah)
Body crazy, curvy, wavy, big titties, lil' waist (Yeah, yeah)
Body crazy, curvy, wavy, big titties, lil' waist (Yeah, yeah)
Body-ody-ody-ody-ody-ody-ody-ody
Ody-ody-ody-ody-ody-ody-ody (Ah, ah, ah)

The category is body, look at the way it's sittin' (Yeah)
That ratio so out of control, that waist, that ass, them titties (That waist, that ass, them titties)
If I wasn't me and I would've seen myself, I would have bought me a drink (Hey)
Took me home, did me long, ate it with the panties on (Ugh, ugh, ugh)
I could build a house with all the brick I got (Yeah)
Bitches spend a lifetime tryna get this hot (Tryna get this hot)
And if her head too big, I could make that pop
I'm not the one to play with like a touch-me-not, ah
Body-ody-ody-ody-ody-ody-ody-ody
Ody-ody-ody-ody-ody-ody-ody (Ah)
Body-ody-ody-ody-ody-ody-ody-ody
Ody-ody-ody-ody-ody-ody-ody (Ah)
Body crazy, curvy, wavy, big titties, lil' waist (Yeah, yeah, woah)
Body crazy, curvy, wavy, big titties, lil' waist (Woah, woah)
Body-ody-ody-ody-ody-ody-ody-ody
Ody-ody-ody-ody-ody-ody-ody (Hey, hey, hey, ah)

Ody-ody-ody-ody
Mwah"
Buss It,Erica Banks,"Part 1

They know alot of people ask us ""How is CDot funded? Where do you get your money from?"" The simple answer
Sin Squad, shout out Fumez the Engineer
Plugged In, free all the getbacks
Serious splashers, soul snatchers
Grrr, bow
Us never them
You ain't never did it

Typers typing, gangdem riding
I just left the 2's, now I'm hearing sirens
I'm three deep on the next block, we're two poles up, this can never be silent
Shawty's all at mine and excited, I make her slurp it up and then ride it
She asked me to make a song about girls, I said ""Nah babes, I'm promoting the violence""
He's gassed, putting his bitch in Chanel
'Til gang pulled up and he got touched and we left him to drip with his girl
Show me a traphouse, I'll show you a stain
These cars get flipped when they creep on the L
Feds want me to rot up in jail
If I link GP, said I'm breaching my bail
Thought he was gang until he folded
'Course we slimed him out like one snail
I still link O for the pack of the opps
And everyone knows who it is from the smell
Run up on me, untuck it
Leave lungs punctured, or we just click it and bang
You go shooting range and you ain't got aim
If I press this button, hit you and your man
Pop them doors, tryna do it close range
Aim, buss it, Erica Banks
Said I don't smoke no more, let me roll one, fuck it
Now I'm just high as Lampz
Still too much M to the dome
Shout ""What's his name? He's my favorite strand""
Serious stepper, outstanding member
I'll find it offensive if you ask if I lack
Lampz got one in the head
Wig all open
K1 dead on the scene, I don't know how the 2's is coping
My lil' bro love drills, he's upcoming like Phil Foden
Sin Squad known for the slappin'
Sin Squad known for the pokin'
Free SlapIt, the judge gave him thirty
He held that and he showed no emotion
I'm with the gang, we just got down my man
The fans like ""When's the music loading?""
Where's Lampost? I found him
Gimme a lighter, let me smoke him
That shit got me choking
Sin Squad ain't the ones to be provokin'
Ching man down with my black blade in my right hand
Rip shirts, Hulk Hogan
KayyKayy, that's my bronem, on foenem
I love me a caramel golden, Beyonce
Or my darkskin ting Kelly Rowland
The gang just got down Drettz (Ching)
They left my man soaking
Don't start with your wrist before I rob man, no Holding (Let me get that)
She suck my dick, but when my man died she post him
Jigga with the double-barrel dotty
That's a dilemma like Kelly Rowland
(Gunner)
About ""Spin that coupe""
No wonder you're missing
Tell bro-bro ""Stop right there, let me jump out the car, get close and wig him""
I swear shh got lucky that day, if he buck me and Sav then he's definitely finished
That day was an hour glide, we done my man, it was less than a minute
Back my ying out get close and fish him, me and gang can rap bout countless drillings
With it, sick in the head, I'm twisted
Rise that mash in less than an instant
More time it's a window chinging, nowadays hop in the ride and bring it
He ain't got juice on his fucking borer, somebody tell my man to zip it
Headshot, you're pissed, my shooter's been taping strips
You can get corn on the mains like Ramz or drenched in the dark like Swift
All I hear is ""DipDat"" that and ""DipDat"" this, man Kelvin weren't on piss
Bro said the ""Allow the fallen"", but them man chat like chicks
How's man questioning me 'bout how many times I've stepped on a paigon's strip? (LOL)
Drettz got drenched in front his yat, not gonna lie that bitch is thick
He was in the A driving an auto, tell me how did you crash your whip?
Skid, skrr, foot on the gas, on the next road we ducked down Swift (He's cutted)

Fumez The Engineer
Part 2
Ayo, TR, go brazy on these niggas man
Ayo, Ludo
They know alot of people ask us ""How is CDot funded? Where do you get your money from?"" The simple answer

Your friend got dropped, there’s no respawning (Aww, man)
If he’s a legend, my bro he’s a killer like Randy Orton
The gangdem got down him and him, they say that we gone too far
Bro hit Ramz with a dotz
Ramz tried save them shots, Ramz must have thought he was Van Der Sar
Mans on the lurk for spinnage
Bro if I have to, I’ll do it on my Jack like Grealish
This golden one she cute, she's talkin’ ‘bout love, had to put her on mute
Lets show the O how to spin this coupe
Farm Block thugs left their goons
Farm Block thugs left their goons

LR, spin this coupe
Lemme jump out, hate slappin' out cars
Remind man how I mind man, ran that day
He ran so fast, but didn't get far
I swear he's a Niner?
Should've got whooshed with the Star, instead he got Anglo Armed
Rambo, catch him, serious splashin'
SMB, SMB, no talk
We run Haringey map
I don't know how they chat on gang
'Bout ""YKTV"", you know the vibe
Two times gang got Clappz and Dappz
The animals need to fill this bine so in Farm tryna slay these pratts
How you gonna sing on the drills you did?
Trey Songz, but in the songs you rap

Lack on your block, that's critical drenchin'
Run man down tryna wet and cheff him
Why so fast? Still kweffed him
I hate when I pull up in flats, no cap
They all did the dash, man I had the intention
To send man to see their cousin, brother, OG, best friend or bredrin
My opps are stressin' in front of the church
Screaming out ""peace"" with the L to the reverend (That Dickhead)
Shawty won't hold this .40, why she wan' talk 'bout dates at the Weston
How many times did the foenem hop in the ride?
I said I'm in too like WSTRN
New watch, new necklace
System settings, please don't attend them
I love all my brothers, I put it on my mothers
You can't name a nigga that we ain't got
Me and 6ix used to lurk in the 2 so much, me and folks took it up as a day job
And if it's daytime trips I'm taking, merch on the L, by night it's taped off
GG stepped on the enemy turf
Three got burst, it was nuttin' like airsoft
And you ain't never took that risk
Opp block trip, two sticks and if I see pigs then bro's gotta floor it now
I don't even sip no drink but I still double cut, L21 pouring out (Pouring)
And there's still too much M to the dome, but when I link ****, he's loud
Sin him, blick him, walkway grinnin'
Spin him, Fivio Foreign style

(Gunner)
They like the Sinners tapped in the head
How many times have they tapped with intent?
If I tap on the spin then I tap it again (Tapping)
You know what, I might catch me an M
You know what, I might turn man off but I won't switch sides like Berbatov
Had to perform well to win that bunda, had me feeling like Jürgen Klopp
Just showed bro how to pull it on burst
LOL, I think the Woods' is cursed
I heard my man got hit a whoosh but I know the other ones got done up worse
You can’t get back on the getback and make the young G’s put blades in shirts (Ching Ching)
Lampz got slapped, he weren’t staying alert
Mello and Chop got put in a hearse
Sneak and creep like Assassin’s Creed
Me and S-a-v tryna S.a.D
Nowadays I gotta step on minors
And I ain’t talkin’ ‘bout PYTs
I’m shottin’ food and he’s talkin’ ‘bout refund
Ay rudeboy, bring that receipt
Bro chopped him up, he was begging him please
Fuck that we ain’t hearing no plea
When I was locked up didn’t get no bail
When I was locked up didn’t send no mail
Bro got the stick and put eight in his clip
We ain’t tellin’ no fibs, you heard my man fell
When Lampz went jail I fucked my man’s girl
I made shorty play with herself
Don’t blame her when it was his fault
It gets like that when you ain’t treatin’ em well (It's nuts)

Fumez The Engineer"
La Noche de Anoche,Bad Bunny & Rosalia,"Yo sé que esto no volverá a pasar
Pero si volviera a pasar, sé que sería tu debilidad

Porque la noche de anoche fue
Algo que yo no puedo explicar
Eso era dando y dándole sin parar
Tú me decías que morías por mí
Porque la noche de anoche fue (Eh-eh)
Algo que yo no puedo explicar (Eh-eh)
Eso era dando y dándole sin parar (Eh-eh)
Tú encima de mí, yo encima de ti (Oh-oh)
Eh, eh

Tú me dejaste el cuerpo caliente, infierno
Pero me dejaste el corazón frío, invierno
Soñando que contigo e' que duermo (Duermo)
Dime, papi
Dime, mami
¿Esa noche quién la borra?
Tú me besaste y se me cayó la gorra
Sin mucha labia, sin mucha cotorra
Cuando 'toy contigo dejo que la vibra corra
Y que la luna no' supervise
Con esa boquita suena rico to' lo que tú me dice'
Hicimo' pose' que yo má' nunca hice
Tú te mojaste' pa' que yo me bautice
Y me ponga serio, serio
Tú y yo junto' creando un imperio
Eso' ojito' tienen un misterio
Pero al final na' 'e lo nuestro fue en serio
Y ya me ha pasa'o que me han ilusiona'o
Y ya me ha pasa'o que me han abandona'o
Y ya me ha pasa'o que no está' a mi la'o
Y ya me ha pasa'o

Porque la noche de anoche fue (Eh-eh)
Algo que yo no puedo explicar (Eh-eh)
Eso era dando y dándole sin parar (Eh-eh)
Tú encima de mí, yo encima de ti (Oh-oh)
Porque la noche de anoche fue (Eh-eh)
Algo que yo no puedo explicar (Eh-eh)
Eso era dando y dándole sin parar (Eh-eh)
Yo encima de ti, tú encima de mí (Oh-oh)

Que yo me iría otra vez pa' Japón (Hey)
Papi, qué penita tú, qué maldición (Mmm)
La paleta es dulce, azúcar de algodón (Yeh)
Y es la única que me llega hasta al corazón
Yo no me olvido, la suerte está echada (Bum)
Se me enredaba el pelo en la pantalla
Sabe' que solo lo hago de leyenda (¡Wuh!)
Lo subo al cielo, yo soy su Messiah
El Benito es un diablillo y es un ángel
Lo tengo juquea'o como si fuera tote
Baby, entre nosotro' nunca competimos
Si preguntan dice: ""Ella to' los récords bate""
Y ya me ha pasa'o que me han ilusiona'o
Y ya me ha pasa'o que me han abandona'o
Y ya me ha pasa'o que no está' a mi la'o
Y ya me ha pasa'o

Porque la noche de anoche fue (Eh-eh)
Algo que yo no puedo explicar (Eh-eh)
Eso era dando y dándole sin parar (Eh-eh)
Tú encima de mí, yo encima de ti (Oh-oh)
Porque la noche de anoche fue (Eh-eh)
Algo que yo no puedo explicar (Eh-eh)
Eso era dando, dándole sin parar (Eh-eh)
Tú encima de mí, yo encima de ti (Oh-oh)

Mmm-jum
Mmm-jum
Mmm-jum"
Masterpiece,DaBaby,"Psst, stop (Huh)
Noticed how I looked you in your eyes (Let’s go)
Next time, a nigga get shot
If you really love me, fuck me like a thot
If you really love me, do what I say (d.a. got that dope)
When you give me head, look me dead in my eye (Go)
Nigga play and I'ma set it on fire

My lil' bitch is a masterpiece
I don't even gotta be funny when I'm tellin' no jokes
She still gon' laugh at me
Still suck my dick when she mad at me
Let a nigga makе me mad, you'll see
I nod my head in this bitch
Them niggas gon' slidе on your bitch-ass for me
Buss down Cartier, new Master P
My lil' bitch is a masterpiece
I don't even gotta be funny when I'm tellin' no jokes (Yeah, uh)
She still gon' laugh at me (Yeah, uh)
Still suck my dick when she mad at me (Yeah, uh)
Let a nigga make me mad, you'll see (Yeah, uh)
I nod my head in this bitch (Yeah, uh)
Them niggas gon' slide on your bitch-ass for me (Uh, uh)
Buss down Cartier, new Master P
Let down the window, you see me (Skrrt, let this bitch down)
We got ARs, .45s, nines, and the two-tone Lamborghini (Let's go, let’s go)
I walk in the bitch by myself
Nigga still got on all of his bling-bling (Bling)
I’m so rich, drop the top on that 'Rarri
Got lil' bruh in this bitch with that thing-thing (That ting, nigga)
They just told me that somebody die
But it don’t bother me, that's a G thing (So)
No, it don’t bother me, it's the G way (G)
I don't know what went down at that Walmart (Uh-uh)
I don't know what happened on that freeway (Doo, doo, doo)
Okay, there go DaBaby, he back now
Run it back, hey, bitch, turn that on replay
Oh, he still got that shit with that bop in it?
Oh, they thought that lil' nigga went pop, didn't it?
I'm one of them superstar rappers who actually poppin'
Who really gon' pop niggas (I'm one of those)
We really done pop niggas
Tryna see one of you lil' niggas up, take the clout wit' ya
And I got this lil' boo thing
Soon as I went a got her a purse, put my Glock in it (Yeah, yeah-yeah)
Like bae, you my bitch now
She know I don't mean no disrespect, I just talk different
Nigga
My lil' bitch is a masterpiece
I don't even gotta be funny when I'm tellin' no jokes
She still gon' laugh at me
Still suck my dick when she mad at me
Let a nigga make me mad, you'll see
I nod my head in this bitch
Them niggas gon' slide on your bitch-ass for me (Doo, doo, doo, doo)
Buss down Cartier, new Master P
My lil' bitch is a masterpiece (Go)
I don't even gotta be funny when I'm tellin' no jokes
She still gon' laugh at me (Uh)
Still suck my dick when she mad at me
Let a nigga make me mad, you'll see
I nod my head in this bitch
Them niggas gon' slide on your bitch-ass for me (Doo, doo, doo, doo)
Buss down Cartier, new Master P

Buss it down, Cartier baby (Buss it down)
Niggas think I'm from Detroit
But I come from that 704, Charlotte made me (704)
And you can come play if you want
I'ma leave yo ass cold like Detroit on the pavement (Doo, doo, doo, doo)
Who fuckin' with Baby? Just laughed at you
Quick to beat a nigga up, leave him snaggle teeth (Uh, uh)
Hoppin' on a jet to get a bag or two (Let's go)
Prolly gonna need to do some therapy
Had the moments, I always feel lonely (Uh-huh)
Just walked in the meetin', and I got it on me
They don't know that I got it on me (Uh, uh, uh)
I done a whole lotta millions while in a pandemic (Yeah, yeah, yeah)
And even out there performin' (Go)
Clown ass nigga, better ketchup
You ain't even mustard, that shit, that bologna (Eugh)
New boo look like a Barbie doll straight out the package
Had to buss her out the wrapper (Mwah)
But nice at the love with a real nigga (Mwah)
Time to turn her to a savage
A nigga play with me, I'll prolly burn him on camera (Boom)
Damn, a rapper killed a rapper
Big player, it don't matter what happened before
What really matters happens after
My lil' bitch is a masterpiece
I don't even gotta be funny when I'm tellin' no jokes
She still gon' laugh at me
Still suck my dick when she mad at me
Let a nigga make me mad, you'll see (Go)
I nod my head in this bitch
Them niggas gon' slide on your bitch-ass for me (Oh, oh)
Buss down Cartier, new Master P (Oh, oh)
My lil' bitch is a masterpiece (Oh, oh)
I don't even gotta be funny when I'm tellin' no jokes
She still gon' laugh at me (Oh, oh)
Still suck my dick when she mad at me (Oh, oh)
Let a nigga make me mad, you'll see (Oh, oh)
I nod my head in this bitch
Them niggas gon' slide on your bitch-ass for me
Buss down Cartier, new Master P"
The Business,Tiesto,"Let's get down, let's get down to business
Give you one more night, one more night to get this
We've had a million, million nights just like this
So let's get down, let's get down to business

Mama, please don't worry 'bout me
'Cause I'm about to let my heart speak
My friends keep telling me to leave this
So let's get down, let's get down to business

Let's get down, let's get down to business
Give you onе more night, one more night to gеt this
We've had a million, million nights just like this
So let's get down, let's get down to business
Let's get down, let's get down to business
Give you one more night, one more night to get this
We've had a million, million nights just like this
So let's get down, let's get down to business, yeah

Back and forth, back and forth with the bullshit
I know I said it before, I don't mean it
It's been a while since I had your attention
So it might hurt to hear this
(Ooh, yeah, yeah)
Dreams we have don't ever fall away
We can't live 'em if we stay the same
And I can't do this for another day
So let's get down, let's get down to business

Let's get down, let's get down to business
Give you one more night, one more night to get this
We've had a million, million nights just like this
So let's get down, let's get down to business
Let's get down, let's get down to business
Give you one more night, one more night to get this
We've had a million, million nights just like this
So let's get down, let's get down to business, yeah

Ooh, yeah, yeah"
Deserve You,Justin Bieber,"When I'm in my thoughts sometimes
It's hard to believe I'm the person you think I am
The person that you tell me you love
I'm on my ten thousandth life
Nine thousand nine hundred nine and it slipped my hands
But this the one I'm not givin' up

Night after night you fall asleep on me
I'm prayin' that I don't go back to who I was

I feel like I don't deserve you tonight (Tonight)
It's in the way that you hold me
I don't deserve you tonight (Tonight)
It's in the things that you show me (Show me)
I need you, don't let me go
Need you, don't let me go
I feel like I don't de-, I don't de-, I don't deserve you tonight

I can tend to hold things back
I need you more than I let you believe I do
'Cause you could think it might be too much, oh yeah
I don't wanna be my past
Oh, when we kiss, I'm alive and I feel brand new
There's nothing that I want more than us (Na-na-na-na-na)
Night after night, you fall asleep on me (Sleep on me)
I'm prayin' that I don't go back to who I was (Oh no, no no, no)

I feel like I don't deserve you tonight (Deserve you)
It's in the way that you hold me
I don't deserve you tonight (Deserve you)
It's in the things that you show me (Oh)
I need you, don't let me go (No)
Need you, don't let me go
I feel like I don't de-, I don't de-, I don't deserve you tonight

Somewhere in the sky (Yeah)
The way your body fits on mine
And when you give in to me
I'm so high, but I'm fallin' (Na-na-na), uh
And now my eyes are locked on you (Yeah)
As you dance around the room (Yeah)
And finally, I'm right where I belong, oh-oh, ohh

I feel like I don't deserve you tonight (I don't deserve you)
It's in the way that you hold me
I don't deserve you tonight (I don't deserve you)
It's in the things that you show me (I can't live without you)
I need you, don't let me go (Hey)
Need you, don't let me go
I feel like I don't de- (I don't), I don't de- (I don't)
I don't deserve you tonight (You)
(I don't deserve you)
No, I don't, no
(I don't deserve you)
Gotta need you
I can't breathe without you"
Wasted On You,Morgan Wallen,"I don't always wake up in the mornin'
Pour myself a strong one
Aw, but when I get lonely I do
Your memory gets burnin'
Lean back on the bourbon
Sure as hell can't keep leanin' on you

Looks like I'm learnin' the hard way again
It's all my fault
Yeah, I dropped the ball
You're gone and I'm gone three sheets to the wind
Thinkin' 'bout all I've wasted on you

All of this time and all of this money
All of the these sorries I don't owe you honey
All of these miles on this Chevy, and prayers in a pew
All them days I spent, wasted on you
Wasted on you

Yeah, I swore this one'd be different
My heart wouldn't listen to my head and these boots on my feet
Looks like I'm learning the hard way again
That's why I've been wasted on you
All of this time and all of this money
All these sorries I don't owe you, honey
All of these miles on this Chevy and prayers in a pew
All them days I spent, wasted on you
Wasted on you

Like this pile of your stuff that's packed up in the back
Right down to the flame of this match
Wasted on you, wasted on you
Wasted on you, wasted on you
Wasted on you

All of this time and all of this money
All these sorries I don't owe you, honey
All of these miles on this Chevy and prayers in a pew
All them days I spent, wasted on you
Wasted on you

Wasted on you, wasted on you"
Made For You,Jake Owen,"Water towers are made for hearts and names
Friday nights are made for football games
Fallin' leaves are made for fallin' in
Front porch steps are made for goodnight kissin'
And I was made for you, yeah I was made for you

Summer jobs are made for spendin' cash
Second dates are made for goin' fast
Early curfews are made for sneakin' past
2 a.m. was made for pissed off dads
And I was made for you, yeah I was made for you

Like a ship without a sea
Or a song without a melody
I don't know where I'd be or what I'd do
'Cause I was made for you

Smoky bars are made for ""How 'bout a dance?""
Open roads are made for holdin' hands and
Laid back seats are made for young love
Two pink lines are made for growin' up
And I was made for you, yeah I was made for you
Like a ship without a sea
Or a song without a melody
I don't know where I'd be or what I'd do
'Cause I was made for you

Tiny shoes are made for tiny feet
My two arms are made for where you sleep
Sky was made for the moon and stars
You were made to steal my heart
And I was made for you, yeah I was made for you"
Breaking Up Was Easy In The 90's,Sam Hunt,"Yeah, man, oh man, oh man

Bartender looked at me like
""Pony up, man, we're closin' down""
I paid the tab, and I turned around
Got on that phone on the way home
And ended up down the rabbit hole again
It's funny how you haven't changed a bit
But you're twice as pretty
Glad you finally got to see New York City
And I know it's not a race
But it looks like you're gettin' over me
Faster than I'm gettin' over you
But hey, what you gon' do?

I'm sick of sittin' at the house, dyin' on my phone
Wishin' I was somewhere I can be alone
Try to let you go, somethin' always reminds me
I bet breakin' up was easy in the '90s
I'm tired of gettin' drunk, tired of bein' free
Tired of seein' pictures I don't wanna see
Girl, you're everywhere, everywhere but behind me
I bet breakin' up was easy in the '90s
Back then, I could've convinced myself
That maybe you called when I was out
But you didn't know what to say, so you didn't leave a message
And that you're probably at home right now, sound asleep
'Cause goin' out isn't really your thing
And I wouldn't have a clue what you been up to lately
Or who you been up to it with
But when I don't miss your calls, I miss you callin'
And I go 'round and 'round again

I'm sick of sittin' at the house, dyin' on my phone
Wishin' I was somewhere I can be alone
Try to let you go, somethin' always reminds me
I bet breakin' up was easy in the '90s
I'm tired of gettin' drunk, tired of bein' free
Tired of seein' pictures I don't wanna see
Girl, you're everywhere, everywhere but behind me
I bet breakin' up was easy in the '90s

Modern love, it's the modern hearts breakin'
I'm just a product of my generation, and I
'Bout had enough, watchin' you gettin' on with your life
Baby, I'm sick of sittin' at the house, dyin' on my phone
Wishin' I was somewhere I can be alone
I try to let you go, somethin' always reminds me
(I bet breakin' up was easy in the '90s)
I'm tired of gettin' drunk, tired of bein' free
Tired of seein' pictures I don't wanna see
Girl, you're everywhere, everywhere but behind me
I bet breakin' up was easy in the '90s

Hearts breakin'
I'm a product of my
Oh, a product of my generation, oh, and I
My baby, my baby"
